SICKEntail_mean,SICKEntail_sum
77.39,74.87
74.67,73.27
74.37,73.13
75.77,73.66
74.2,73.01
74.95,73.66
74.02,72.62
77.39,74.45
75.89,74.3
74.77,73.9
