,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
0,dollar,formula,pound,quote,ability,absence,abuse,acceptance,access,accident,accommodation,account,accountant,accuracy,achievement,acid,acquisition,action,activity,actor,adam,addition,address,administration,admission,adult,advance,advantage,advertisement,advice,adviser,affair,africa,afternoon,agency,agenda,agent,agreement,aircraft,airport,alarm,album,alcohol,alice,allegation,alliance,allowance,ally,alternative,ambassador,ambition,amendment,american,amount,analysis,angel,anger,angle,animal,ankle,anna,anniversary,announcement,anxiety,apartment,appeal,appearance,apple,application,appointment,approach,approval,april,architect,architecture,area,argument,army,arrangement,array,arrest,arrival,arrow,article,aspect,assault,assembly,asset,assistant,association,assumption,athelstan,atmosphere,attempt,attention,attitude,attraction,audience,auditor,author,authority,autumn,average,awareness,baby,background,bacterium,baker,balance,ball,barrel,barrier,base,basis,basket,bath,bathroom,battery,battle,beach,beauty,beer,beginning,being,belief,bell,belt,bench,benjamin,bike,bill,birth,bishop,black,blood,blow,board,boat,body,bond,book,border,boss,bowl,branch,brand,bread,breakfast,breath,breeze,brick,bridge,britain,brow,brush,budget,bull,burden,bush,button,buyer,cabinet,cable,calculation,call,camp,campaign,candidate,capital,captain,card,career,cash,cast,catalogue,category,cattle,cause,caution,ceiling,century,ceremony,certificate,chain,chair,chairman,challenge,change,chaos,character,charge,charity,charles,chart,check,cheque,china,choice,christ,cigarette,circle,circumstance,city,clash,class,cliff,clinic,closure,club,cluster,co-operation,coal,coffin,collapse,colleague,college,column,combination,commissioner,community,company,compensation,completion,complex,compromise,computer,concept,concern,concert,conference,confusion,connection,consciousness,consequence,conservative,consumer,contact,content,convention,corner,corridor,count,counter,country,county,couple,courage,course,cover,criterion,crop,cross,culture,curiosity,current,cycle,damage,dance,database,dawn,death,decade,degree,democracy,depression,depth,development,device,diana,difference,disc,display,distance,division,domain,door,doubt,draft,drama,draw,dream,earth,east,edge,effect,electricity,employee,engine,engineer,enquiry,equation,equipment,estate,event,evolution,example,excess,exhibition,existence,expedition,experience,experiment,export,fabric,factor,failure,farm,fashion,favour,feeling,fellow,flood,france,freedom,friendship,gain,game,germany,glimpse,goal,gorbachev,guitar,half,hall,handful,handle,heap,heaven,height,horn,host,hour,hundred,illness,importance,individual,inequality,information,injunction,intention,invasion,issue,journal,kind,label,ladder,landlord,lesson,let,life,link,location,mail,major,majority,maker,meaning,means,merit,middle,mirror,monopoly,motion,mouse,mystery,myth,nest,norm,note,nurse,observation,office,open,operator,paragraph,passenger,peasant,people,personality,perspective,pole,popularity,preparation,pressure,procedure,prospect,radio,rain,reading,remainder,rope,second,setting,theme,thinking,times,trace,tragedy,while,worth
1,coin,compound,acre,bible,confidence,breach,bias,adoption,allocation,crash,shelter,block,citizen,capability,award,chemical,offer,,boom,designer,david,comparison,answer,government,applicant,female,back,chance,advertising,assistance,analyst,conversation,america,evening,intelligence,policy,detective,concession,airline,port,beam,song,drug,anne,case,coalition,benefit,defeat,band,delegation,commitment,charter,english,bulk,assessment,creature,contempt,curve,bird,chest,isabel,birthday,launch,pain,home,conviction,flavour,cake,code,place,conception,consent,february,artist,interior,countryside,objection,guard,chamber,range,crime,departure,blade,entry,characteristic,attack,congress,bank,coach,entity,conclusion,crown,climate,effort,enthusiasm,behaviour,holiday,crowd,clerk,collector,jurisdiction,fall,capacity,care,girl,consideration,cancer,clarke,complexity,drop,grip,bottom,headquarters,grounds,boot,england,bedroom,candle,fight,coast,comfort,champagne,conversion,finding,fact,castle,blanket,circuit,eliot,carriage,charlie,brother,cathedral,brown,bone,break,centre,craft,breast,,chapter,boundary,gentleman,champion,line,client,diet,dinner,grin,cloud,building,canal,ireland,cheek,carpet,debt,horse,cost,clinton,camera,creditor,minister,channel,datum,invitation,concentration,demonstration,poll,colony,chief,chip,football,fortune,crew,collection,list,sheep,defect,discretion,curtain,period,prayer,curriculum,factory,department,chancellor,competition,shift,terror,role,command,foundation,earl,,glance,credit,japan,preference,jesus,dust,figure,condition,york,conflict,grade,forest,facility,removal,defender,leaf,communication,farmer,corpse,destruction,companion,institute,headline,form,constable,settlement,corp,damages,construction,core,consensus,innovation,constraint,difficulty,festival,meeting,controversy,contradiction,emotion,outcome,democrat,economy,involvement,joke,declaration,cottage,path,,strategy,nation,district,pair,determination,discipline,poster,directive,goods,knight,history,delight,future,flow,danger,music,date,,resignation,month,doctor,discourse,recession,depths,management,filter,emily,distinction,disk,performance,drive,promotion,image,doorway,evidence,final,episode,drawing,hope,moon,north,extension,emphasis,energy,employer,front,expert,inquiry,mass,machinery,land,race,hypothesis,ideal,improvement,gallery,presence,journey,expertise,initiative,import,fibre,function,refusal,hole,gesture,succession,impression,inhabitant,heat,paris,human,joint,hold,video,hitler,hint,pitch,moscow,instrument,quarter,room,number,input,pile,hell,length,piece,show,inch,million,injury,significance,other,poverty,insight,remedy,motive,occupation,matter,magazine,sort,record,,tenant,pupil,will,lifetime,links,target,packet,,minority,manufacturer,name,necessity,warrant,,observer,privilege,,pocket,novel,origin,,,notice,practitioner,reflection,post,,phone,prison,rail,,person,reality,point,,reputation,,root,process,prospects,television,snow,work,rest,waist,,,,thought,,,triumph,whilst,
2,currency,formula,pound,contents,pace,lack,discrimination,recognition,availability,disaster,tent,talk,journalist,effectiveness,best,envelope,premium,,decline,producer,luke,contrast,comment,public,defendant,male,move,incentive,media,consultation,commentator,dialogue,australia,morning,secret,,police,contract,carrier,,delay,soul,substance,blanche,claim,faction,dividend,opponent,metal,embassy,contribution,clause,french,extent,compliance,ghost,disappointment,direction,insect,elbow,marie,occasion,official,sensation,hotel,decision,recipe,cream,custom,position,definition,permission,june,dancer,landscape,population,reason,personnel,composition,spectrum,gang,discovery,bullet,page,component,bomb,constituency,business,manager,group,idea,duke,environment,order,passion,conduct,tourist,reader,councillor,critic,possession,spring,lifespan,health,teenager,context,disease,cook,dose,hook,machine,flat,mission,site,bottle,leeds,cupboard,lamp,fighting,gulf,glory,coffee,creation,search,faith,clock,cloth,court,george,driver,jack,child,chapel,colour,brain,crack,commission,fleet,flesh,,diary,,killer,championship,railway,customer,dish,lunch,kiss,darkness,stone,lock,scotland,chin,flower,deficit,rider,expense,ford,panel,dealer,ministry,network,estimate,petition,prisoner,protest,referendum,empire,commander,memory,professional,gift,,library,,,disorder,judgement,deck,phase,ritual,education,furniture,head,deputy,competitor,step,,,control,fund,edward,,look,deposit,kong,priority,,fire,space,crisis,,dispute,level,hill,hospital,replacement,forward,,implementation,mine,grave,fate,friend,school,news,mixture,inspector,town,corporation,liability,design,formation,discussion,science,doctrine,dilemma,guest,session,criticism,equivalent,expression,result,kinnock,market,participation,mess,independence,garden,road,,tactic,,province,,honour,field,,limitation,grain,,language,excitement,past,stream,harm,,document,,retirement,week,master,hierarchy,,,plan,mechanism,helen,,tape,presentation,pass,,photograph,entrance,expectation,round,feature,paint,love,planet,south,margin,focus,fuel,parent,gear,historian,investigation,medium,supplies,ownership,,logic,instance,increase,museum,,trip,interest,program,industry,wire,interval,tendency,lake,manner,,mood,leader,pollution,rome,rights,merger,holder,,israel,moment,play,republic,lead,,,,lift,,,shape,string,,mile,thousand,stroke,,,unemployment,material,restriction,objective,revolution,,papers,,recording,,,resident,wish,living,,,service,,percentage,,phrase,possibility,,,,status,,rabbit,plot,tradition,,,register,,representation,,,telephone,sentence,stop,,,voice,view,,success,,strain,routine,,,storm,writing,whole,,,,,,,,victory,,
3,dollar,,tonne,copy,resistance,plenty,violence,rejection,consumption,explosion,,user,lawyer,efficiency,medal,fragment,purchase,,expansion,,mark,reference,desk,regime,offender,,return,opportunity,publicity,guidance,consultant,interview,continent,night,security,,policeman,deal,flight,,emission,tune,,caroline,complaint,opposition,earnings,rival,rock,,desire,constitution,german,fraction,evaluation,monster,embarrassment,knot,organism,finger,princess,,release,shock,house,hearing,scent,drink,framework,seat,description,seal,march,photographer,,region,,rebel,,variety,killing,,fist,subject,dimension,enemy,election,enterprise,owner,institution,premise,emperor,nature,,respect,habit,visitor,viewer,delegate,developer,responsibility,summer,limit,housing,woman,coverage,incidence,corbett,ease,kick,needle,ground,,,bucket,liverpool,downstairs,light,pursuit,island,happiness,pint,establishment,,,gate,clothes,judge,harry,lorry,tony,cousin,christian,green,cell,tear,committee,ship,hair,,edition,,thief,league,station,product,fish,meal,laugh,mist,tile,tunnel,wales,eyebrow,grass,inflation,,potential,howard,screen,price,prime,,index,proposal,refugee,rally,vote,state,officer,processor,,money,,,,,phenomenon,judgment,fence,time,temple,instruction,garage,,director,contest,switch,,,defence,trust,francis,,,receipt,,,,flame,sphere,situation,,,,mountain,medicine,separation,player,,integration,miner,statue,loss,hero,university,newspaper,type,lord,village,subsidiary,payment,maintenance,frame,guideline,technology,method,error,lecture,,debate,relation,gaze,,labour,stock,,stuff,peace,lane,route,,technique,,,,pride,practice,,need,salt,,literature,laughter,present,traffic,,,file,,,year,thesis,identity,,,planning,mode,kate,,track,reception,ride,,picture,stair,proof,season,film,painting,,star,west,part,impact,power,,shaft,laboratory,report,momentum,supply,property,,theory,,recovery,portrait,,visit,knowledge,programme,production,,parameter,willingness,mill,style,,,member,waste,,,partner,holding,,italy,,rating,russia,organ,,,,load,,,size,,,minute,,,,,,statistics,sanction,purpose,,,proceedings,,sound,,,student,,,,,,,,,term,virtue,,,,,,,story,,,,warning,,sight,,,,,train,,,,,,,,stress,scheme,,,weather,,,,,,,,,,,,
4,gold,,,format,speed,shortage,,,delivery,incident,,,politician,survival,prize,gene,rent,,growth,,michael,,message,treasury,plaintiff,,start,option,,help,insider,relationship,europe,weekend,,,shot,lease,helicopter,,frequency,,,elizabeth,implication,party,employment,,roll,,loyalty,decree,russian,proportion,examination,stranger,fear,ring,plant,foot,,,,sleep,palace,jury,smell,fruit,interface,spot,explanation,,,poet,,zone,,troops,,,murder,,glove,topic,element,raid,parliament,exchange,,membership,proposition,king,resource,,sympathy,pattern,,,governor,editor,,winter,maximum,reform,,detail,infection,graham,exposure,penalty,pipe,horizon,,,container,london,household,torch,struggle,ocean,pleasure,wine,introduction,,,tower,coat,justice,james,motor,willie,daughter,church,white,muscle,,council,vessel,heart,,essay,,,match,,software,food,,sigh,shadow,,,,face,palm,mortgage,,rate,jackson,stage,purchaser,spokesman,,measure,recommendation,,,voter,territory,reserve,,,,,,,,symptom,opinion,floor,,,study,shoe,,executive,metre,transition,,,duty,volunteer,henry,,,ticket,,,,noise,,,,,,peak,surgery,withdrawal,youngster,,interaction,worker,,,lover,,paper,variation,,,,pension,operation,structure,,,notion,fault,theatre,,scandal,relative,imagination,,tory,,,thing,treaty,park,trail,,trick,,,,spirit,profession,,provision,,,philosophy,surprise,,,,,letter,,,,,ideology,,,,module,laura,,,selection,stand,,resolution,wall,,,horror,,,universe,,portion,influence,,,wheel,participant,,particle,,stake,,,,reduction,,,,skill,project,trade,,variable,,pond,tone,,,supporter,water,,,partnership,share,,spain,,score,union,rhythm,,,,,,,weight,,,seconds,,,,,,,solution,,,,publication,,studio,,,teacher,,,,,,,,,word,,,,,,,,tale,,,,,,vision,,,,,,,,,,,,,tension,,,,wind,,,,,,,,,,,,
5,penny,,,script,strength,,,,demand,,,,servant,validity,winner,molecule,sale,,progress,,nigel,,question,,,,turn,,,intervention,reporter,silence,india,,,,soldier,licence,landing,,impulse,,,jane,rumour,,expenditure,,,,obligation,legislation,,quantity,exercise,,frustration,,prey,hand,,,,,restaurant,verdict,taste,juice,model,,interpretation,,,writer,,,,,,,offence,,knife,,generation,strike,,finance,,movement,,kingdom,,,talent,,,,representative,publisher,,,minimum,safety,,scope,patient,grant,intensity,punch,shell,layer,,,menu,oxford,kitchen,tube,,shore,satisfaction,,opening,,,,collar,magistrate,john,tank,,family,priest,,nerve,,,yard,nail,,guide,,,qualification,,supplier,lamb,,signature,sunlight,,,,forehead,sand,spending,,risk,johnson,,seller,thatcher,,measurement,request,,,,,sergeant,,,,,,,,weakness,,glass,,,teaching,shop,,organiser,sport,trend,,,force,,joseph,,,transaction,,,,smoke,,,,,,ridge,,,,,negotiation,,,,neighbour,,press,,,,,reward,,,,,principle,mistake,tour,,speculation,,instinct,,,,,,,square,,,,,,,,,,requirement,,,poetry,warmth,,,,,source,,,,,marx,,,,platform,lily,,,speech,walk,,,window,,,movie,,,,,remains,,,,,research,,,,,,,,,,,,specialist,schedule,,,,,pool,,,,,waters,,,venture,,,,,wicket,,,,,,,,,,,,,,,,,,,,,,,review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,text,,,,,distribution,,,,,,,protein,transfer,,rise,,paul,,remark,,,,,,,protection,,thread,iraq,,,,,loan,missile,,output,,,lady,statement,,income,,,,promise,regulation,,scale,identification,,guilt,,species,heel,,,,,villa,,,milk,package,,outline,,,,,,,,,,prosecution,,pillow,,ingredient,,,firm,,organisation,,pope,,,,,,,solicitor,traveller,,,ratio,welfare,,,spread,hunt,isolation,,,shelf,,,pack,,sofa,,,side,self,,passage,,,,dress,tribunal,martin,taxi,,father,,,stem,,,,patch,,leaflet,,,squad,,vendor,meat,,smile,tide,,,,mouth,tree,,,threat,washington,,,,,sample,suggestion,,,,,staff,,,,,,,,,,pavement,,,training,store,,president,,,,,leadership,,philip,,,,,,,,,,,,,slope,,,,,transformation,,,,,,print,,,,,,,,,,,obstacle,,,uncertainty,,mind,,,,,,,street,,,,,,,,,,,,,politics,,,,,,,,,,,religion,,,,system,lucy,,,,watch,,,,,,scene,,,,,section,,,,,researcher,,,,,,,,,,,,,,,,,,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,quality,,,,,,,reaction,,,turnover,,peter,,reply,,,,,,,relief,,,world,,,,,sign,pilot,,pulse,,,mary,suspicion,,profit,,,,,rule,,surplus,inspection,,hostility,,specimen,knee,,,,,,,,seed,protocol,,understanding,,,,,,,,,,punishment,,stick,,item,,,insurance,,organization,,prince,,,,,,,,,,,total,,,,virus,jones,profile,,,soil,,,plate,,towel,,,,truth,,version,,,,flag,,mungo,truck,,husband,,,tissue,,,,skin,,poem,,,team,,,potato,,touch,trap,,,,nose,wood,,,,wilson,,,,,,,,,,,,,,,,,,,,,roof,,,youth,workshop,,secretary,,,,,rank,,william,,,,,,,,,,,,,summit,,,,,,,,,,,,,,,,,,,,,,problem,,,,,perception,,,,,,,terrace,,,,,,,,,,,,,,,,,,,,,,,,stance,,,,tool,maggie,,,,,,,,,,series,,,,,stretch,,,,,scholar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,sequence,,,,,simon,,response,,,,,,,support,,,,,,,,spell,plane,,receiver,,,rose,,,revenue,,,,,statute,,value,questionnaire,,panic,,,left,,,,,,,,slice,specification,,,,,,,,,,,,suicide,,sword,,object,,,investment,,,,queen,,,,,,,,,,,,,,,,kelly,sensitivity,,,surface,,,sheet,,,,,,,,,,,,garment,,patrick,vehicle,,marriage,,,vein,,,,stomach,,strip,,,title,,,,,,,,,,tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,speaker,,,,,task,,,,,,,,,,,,,,,valley,,,,,,,,,,,,,,,,,,,,,,trouble,,,,,sense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unity,,,,,rachel,,,,,,,,,,,,,,,,,,,,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,strand,,,,,,,thanks,,,,,,,,,,,,,,,,transport,,signal,,,,,,salary,,,,,,,,survey,,rage,,,limb,,,,,,,,sugar,standard,,,,,,,,,,,,trial,,weapon,,symbol,,,investor,,,,,,,,,,,,,,,,,,,,lewis,stability,,,temperature,,,slide,,,,,,,,,,,,jacket,,richard,,,mother,,,,,,,sweat,,verse,,,tournament,,,,,,,,,,throat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trustee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,senses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,robyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
