,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
10,horse,clock,category,comfort,construction,criticism,client,carrier,castle,collector,consumption,cancer,charter,clinton,committee,crack,circumstance,chair,crime,india,dance,collection,city,crop,helen,contract,delegation,framework,conception,dream,cheek,clash,cloth
11,hour,cluster,comment,commitment,conversion,damage,code,command,cathedral,commentator,cost,cell,clause,cook,congress,crowd,claim,chairman,death,iraq,diary,college,cliff,diet,husband,credit,duke,generation,consciousness,earth,chest,class,clothes
12,hundred,column,complaint,confidence,creation,danger,communication,craft,ceiling,companion,deficit,chemical,commission,corbett,control,draw,compromise,chancellor,detective,ireland,drama,community,coast,dinner,isabel,creditor,embassy,ideal,context,flame,chin,club,coat
13,inch,complex,consensus,contempt,decline,defect,company,crash,chamber,consultant,demand,disease,compliance,david,defence,drive,concern,chief,drug,israel,edition,conference,colony,dish,jane,currency,emperor,instance,contrast,flesh,deck,competition,collar
14,inhabitant,component,content,contribution,departure,delay,computer,crew,chapel,critic,depth,female,conduct,earl,democracy,drop,conclusion,clerk,family,italy,episode,convention,continent,drink,kate,damages,empire,instrument,culture,gaze,disc,competitor,colour
15,metre,constraint,contents,courage,destruction,depression,consumer,demonstration,church,dancer,depths,gene,consent,edward,development,fall,connection,commander,fate,japan,evening,corp,corner,fish,lady,debt,english,machine,definition,ghost,elbow,contest,cover
16,mile,core,conversation,curiosity,discovery,dilemma,container,driver,coffin,dealer,dose,human,constitution,eliot,economy,fight,consequence,commissioner,father,kingdom,fashion,corporation,corridor,flavour,laura,deposit,expedition,meaning,description,glory,eyebrow,course,dress
17,million,curve,copy,delight,establishment,disappointment,custom,duty,cottage,defender,ease,infection,consultation,ford,education,gain,consideration,conservative,friend,kong,feature,council,countryside,flower,lily,dividend,february,means,detail,heart,face,current,dust
18,mine,cycle,debate,desire,existence,disaster,customer,enemy,cupboard,designer,effectiveness,insect,conviction,francis,environment,glance,contradiction,constable,gang,leeds,film,curriculum,county,food,lucy,earnings,flag,mechanism,dialogue,heaven,finger,date,fabric
19,minute,datum,desk,determination,expansion,discrimination,database,engine,curtain,director,efficiency,leaflet,court,george,faction,glimpse,coverage,constituency,girl,liverpool,format,degree,cross,fruit,maggie,employer,french,medium,discipline,hell,fist,decade,garment
20,month,dimension,discussion,effort,extension,disorder,delivery,fire,door,doctor,emission,limb,decision,graham,freedom,guide,criterion,councillor,grave,london,guest,department,district,grain,marie,employment,german,method,discourse,hero,flat,defeat,glove
21,penny,direction,dispute,emotion,formation,embarrassment,design,fleet,doorway,editor,energy,male,declaration,harry,gorbachev,handle,deal,delegate,killer,moscow,guitar,exhibition,east,grass,mary,estate,hitler,mixture,doctrine,jesus,foot,division,green
22,pound,disk,document,enthusiasm,implementation,explosion,developer,flight,downstairs,employee,estimate,mouse,decree,henry,government,help,difference,democrat,killing,oxford,headline,facility,edge,ingredient,mother,exchange,honour,mode,drawing,kiss,forehead,draft,grin
23,quarter,display,entry,excitement,introduction,failure,distribution,force,entrance,engineer,excess,muscle,defendant,howard,guidance,hold,difficulty,deputy,landlord,paris,holiday,festival,farm,juice,princess,expenditure,invasion,model,emphasis,knight,forward,event,hair
24,seconds,distance,explanation,experience,merger,fear,electricity,ground,factory,expert,expense,nerve,directive,hunt,health,journey,distinction,election,lover,rome,horror,firm,forest,lamb,queen,finance,invitation,name,essay,laughter,front,fighting,jacket
25,sheep,domain,guideline,expertise,opening,flood,enterprise,guard,fence,farmer,exposure,nest,discretion,jack,independence,kick,doubt,executive,marriage,russia,host,foundation,gulf,leaf,rachel,fortune,june,option,evolution,lord,gear,final,mask
26,thousand,element,image,faith,passage,frustration,equipment,helicopter,floor,fellow,flow,organism,enquiry,jackson,initiative,laugh,effect,governor,murder,scotland,interview,gallery,hill,lunch,ruth,fund,king,phenomenon,expression,love,grip,football,metal
27,tonne,envelope,information,feeling,period,guilt,export,landing,furniture,figure,fraction,patient,evaluation,james,innovation,lead,error,head,neighbour,spain,label,group,island,meal,sarah,gift,march,phrase,focus,mist,hand,future,paint
28,week,equation,issue,friendship,preparation,harm,fibre,launch,garage,gentleman,frequency,plant,examination,john,integration,let,evidence,inspector,offender,wales,morning,headquarters,lake,meat,sister,goods,nation,process,hierarchy,monster,heel,game,paper
29,worth,experiment,item,gesture,publication,hostility,file,lorry,garden,historian,fuel,prey,exercise,johnson,intelligence,look,expectation,judge,plot,york,movie,hospital,land,milk,susan,grant,occupation,root,history,moon,holding,goal,patch
30,,factor,joke,happiness,recovery,illness,import,missile,gate,journalist,growth,protein,hearing,jones,joint,move,extent,justice,police,,music,institute,landscape,palm,wife,housing,official,scheme,hypothesis,mystery,hole,grade,pile
31,,field,letter,hope,release,incident,industry,mission,glass,lawyer,heat,skin,injunction,joseph,labour,other,fact,kinnock,policeman,,news,institution,line,pint,,income,peasant,search,identification,pack,hook,holder,pillow
32,,filter,link,imagination,removal,injury,insider,motor,hall,maker,height,species,inquiry,kelly,leadership,pace,fault,leader,possession,,night,journal,location,potato,,insurance,pope,solution,identity,planet,horn,league,pocket
33,,formula,links,influence,replacement,isolation,interface,operation,home,master,incidence,specimen,inspection,lewis,membership,pass,favour,magistrate,prison,,novel,laboratory,middle,recipe,,investment,portrait,source,ideology,prayer,knee,major,rabbit
34,,fragment,list,insight,retirement,loss,machinery,passenger,hotel,miner,increase,stem,intervention,luke,ministry,play,finding,manager,prisoner,,painting,lecture,mountain,salt,,investor,prince,standard,inequality,rage,knife,match,seal
35,,frame,material,instinct,separation,pain,mail,personnel,house,nurse,index,stomach,investigation,mark,minority,return,grounds,member,rival,,performance,library,north,sand,,lease,rebel,substance,instruction,rain,knot,medal,sheet
36,,function,matter,interest,succession,panic,maintenance,pilot,household,officer,inflation,strain,judgement,martin,movement,ride,habit,minister,secret,,photograph,living,ocean,scent,,liability,refugee,symbol,interaction,shadow,ladder,occasion,shirt
37,,heap,mess,involvement,transfer,poverty,management,plane,interior,owner,intensity,surgery,judgment,michael,negotiation,rise,handful,organiser,shot,,picture,magazine,park,seed,,licence,republic,system,interpretation,sigh,left,past,shoe
38,,horizon,message,knowledge,transformation,publicity,manufacturer,raid,kitchen,participant,length,survival,jurisdiction,miller,opposition,roll,hint,parliament,suicide,,piece,medicine,part,slice,,loan,revolution,tactic,language,silence,lift,penalty,signature
39,,impulse,mistake,life,transition,punishment,media,routine,lamp,partner,level,tissue,jury,morgan,organisation,sight,idea,president,teenager,,poem,meeting,peak,smell,,market,rose,target,lesson,smile,lock,place,skirt
40,,input,note,lifetime,withdrawal,reaction,menu,ship,lane,photographer,lifespan,tooth,legislation,mungo,organization,sign,impact,prime,thief,,poetry,museum,point,soil,,money,russian,technique,literature,snow,mouth,player,sleeve
41,,interval,notice,loyalty,,recession,network,space,mill,poet,limit,treatment,offence,nigel,party,sleep,implication,representative,victim,,poster,newspaper,pond,sugar,,monopoly,spring,term,logic,soul,nail,pole,smoke
42,,layer,objection,memory,,rejection,offer,strike,organ,politician,load,vein,order,patrick,peace,spell,importance,resignation,witness,,radio,office,port,taste,,mortgage,,tool,manner,spirit,neck,position,stitch
43,,light,opinion,mind,,rumour,open,supplies,palace,practitioner,margin,virus,permission,paul,people,spread,impression,seat,woman,,reality,papers,portion,tree,,ownership,,type,marx,storm,needle,present,suit
44,,measurement,page,mood,,scandal,operator,tank,pavement,priest,mass,,petition,peter,plan,stand,improvement,secretary,,,reception,partnership,prospect,water,,payment,,variety,myth,stranger,nose,professional,sweat
45,,mirror,paragraph,participation,,sensation,package,taxi,pool,producer,maximum,,plaintiff,philip,planning,start,incentive,solicitor,,,record,post,province,wine,,pension,,weapon,nature,terror,opponent,promotion,tape
46,,module,person,passion,,shock,packet,traffic,restaurant,publisher,measure,,privilege,richard,policy,step,individual,speaker,,,recording,press,rail,,,portfolio,,word,notion,torch,pipe,qualification,towel
47,,molecule,poll,personality,,shortage,parent,train,roof,pupil,minimum,,procedure,robert,politics,stop,intention,spokesman,,,rhythm,prize,railway,,,price,,,observation,universe,pitch,race,trousers
48,,momentum,proposal,pleasure,,situation,phone,training,room,reporter,noise,,proceedings,robyn,progress,switch,kind,successor,,,rock,program,region,,,profit,,,origin,,plate,rally,uniform
49,,motion,question,popularity,,speculation,platform,transport,shelter,researcher,number,,proposition,scot,prospects,tear,lack,supporter,,,scene,programme,remains,,,property,,,outline,,punch,rank,white
50,,norm,reference,presence,,stress,premium,troops,shop,resident,output,,prosecution,scott,protection,touch,limitation,thatcher,,,schedule,project,reserve,,,purchase,,,perception,,right,remainder,
51,,object,remark,pride,,suspicion,print,truck,sofa,scholar,percentage,,provision,simon,protest,trace,majority,tory,,,screen,research,ridge,,,purchaser,,,perspective,,ring,rest,
52,,observer,reply,profession,,symptom,processor,unit,square,scientist,pollution,,questionnaire,smith,reform,trap,merit,trustee,,,script,school,river,,,receipt,,,philosophy,,rope,rider,
53,,pair,request,promise,,tension,product,vehicle,stair,sergeant,population,,recommendation,stephen,regime,trick,moment,,,,series,science,road,,,register,,,practice,,shaft,role,
54,,panel,response,pursuit,,threat,production,vessel,statue,servant,power,,referendum,taylor,relief,trip,motive,,,,session,society,route,,,rent,,,presentation,,shell,round,
55,,parameter,section,recognition,,tragedy,protocol,volunteer,stone,soldier,pressure,,refusal,thomas,resistance,turn,necessity,,,,show,staff,settlement,,,revenue,,,principle,,shoulder,score,
56,,particle,sentence,relationship,,trouble,public,weather,store,specialist,profile,,regulation,tony,responsibility,visit,need,,,,song,student,shelf,,,salary,,,reader,,slide,season,
57,,path,statement,reputation,,uncertainty,resource,wing,temple,teacher,proportion,,remedy,walker,rights,walk,objective,,,,sound,survey,shore,,,sale,,,reading,,spine,second,
58,,pattern,stuff,respect,,violence,service,,tent,traveller,quality,,report,ward,safety,watch,obligation,,,,stage,teaching,side,,,savings,,,reflection,,stick,setting,
59,,phase,subject,reward,,weakness,software,,terrace,worker,quantity,,resolution,william,sector,will,obstacle,,,,star,theatre,site,,,seller,,,relation,,stroke,sport,
60,,pulse,suggestion,satisfaction,,,specification,,tile,writer,range,,review,williams,security,,opportunity,,,,story,university,slope,,,share,,,religion,,sword,spot,
61,,receiver,talk,self,,,subsidiary,,tower,,rate,,rule,willie,strategy,,outcome,,,,strip,venture,south,,,shareholder,,,representation,,tail,squad,
62,,sample,text,senses,,,supplier,,villa,,rating,,sanction,wilson,struggle,,plenty,,,,studio,washington,state,,,spending,,,ritual,,thigh,summer,
63,,sequence,thing,skill,,,supply,,visitor,,ratio,,selection,wright,support,,possibility,,,,tale,workshop,station,,,stake,,,sense,,throat,table,
64,,shape,thread,success,,,technology,,wall,,reduction,,status,,trade,,potential,,,,television,,strand,,,stock,,,speech,,thumb,team,
65,,shift,topic,surprise,,,telephone,,window,,relative,,statute,,union,,preference,,,,theme,,street,,,subsidy,,,stance,,tongue,test,
66,,signal,user,sympathy,,,trading,,wood,,risk,,treaty,,unity,,premise,,,,track,,stretch,,,surplus,,,statistics,,tray,time,
67,,spectrum,vote,talent,,,vendor,,yard,,scale,,trial,,voter,,priority,,,,tune,,summit,,,tenant,,,study,,waist,times,
68,,sphere,warning,thanks,,,,,,,sensitivity,,tribunal,,welfare,,problem,,,,verse,,territory,,,ticket,,,style,,wheel,title,
69,,stimulus,wish,virtue,,,,,,,size,,verdict,,youth,,proof,,,,version,,tourist,,,transaction,,,theory,,wire,tour,
70,,stream,,vision,,,,,,,speed,,warrant,,,,purpose,,,,video,,town,,,treasury,,,thesis,,wound,tournament,
71,,string,,warmth,,,,,,,stability,,,,,,reason,,,,voice,,trail,,,trust,,,thinking,,wrist,triumph,
72,,structure,,wealth,,,,,,,strength,,,,,,requirement,,,,weekend,,tunnel,,,wages,,,thought,,,trophy,
73,,surface,,willingness,,,,,,,sunlight,,,,,,restriction,,,,writing,,valley,,,,,,tone,,,victory,
74,,tube,,work,,,,,,,temperature,,,,,,result,,,,,,village,,,,,,tradition,,,while,
75,,variable,,,,,,,,,tide,,,,,,scope,,,,,,waters,,,,,,truth,,,whilst,
76,,variation,,,,,,,,,total,,,,,,significance,,,,,,west,,,,,,understanding,,,wicket,
77,,viewer,,,,,,,,,turnover,,,,,,sort,,,,,,zone,,,,,,view,,,winner,
78,,wave,,,,,,,,,unemployment,,,,,,task,,,,,,,,,,,,,,,winter,
79,,wind,,,,,,,,,value,,,,,,tendency,,,,,,,,,,,,,,,world,
80,,,,,,,,,,,volume,,,,,,trend,,,,,,,,,,,,,,,year,
81,,,,,,,,,,,waste,,,,,,validity,,,,,,,,,,,,,,,youngster,
82,,,,,,,,,,,weight,,,,,,whole,,,,,,,,,,,,,,,,
