,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,dollar,formula,quote,ability,absence,abuse,access,accident,accommodation,accountant,accuracy,acid,action,adam,administration,advance,advantage,adviser,affair,africa,afternoon,agency,airport,alcohol,alice,allowance,ally,alternative,analysis,angel,ankle,appearance,basket
1,pound,angle,account,acceptance,acquisition,anger,advertising,aircraft,apartment,actor,amount,adult,admission,athelstan,agenda,alarm,assumption,ambassador,arrest,america,album,architecture,area,apple,anna,asset,american,arrangement,approach,baby,arrow,battle,belt
2,acre,array,address,achievement,addition,anxiety,allocation,airline,bath,agent,availability,animal,advice,baker,alliance,attempt,basis,appointment,birth,australia,band,association,attraction,beer,anne,bank,anniversary,combination,aspect,breath,ball,being,black
3,boom,atmosphere,advertisement,activity,adoption,cause,application,assault,bathroom,analyst,average,bacterium,agreement,benjamin,assistance,back,benefit,assembly,birthday,britain,best,award,beach,bottle,blanche,budget,april,compound,background,breeze,barrel,bowl,blanket
4,cattle,barrier,allegation,ambition,announcement,caution,brand,attack,bedroom,architect,balance,bird,amendment,bill,authority,blow,bias,assistant,bond,china,book,board,border,bread,caroline,buyer,army,counter,behaviour,chaos,blade,career,brush
5,coal,beam,answer,attention,arrival,condition,business,base,bell,artist,bulk,blood,appeal,brown,campaign,break,breach,auditor,boss,country,cast,catalogue,boundary,breakfast,cousin,capital,autumn,device,belief,christ,boot,ceremony,bucket
6,coin,calculation,argument,attitude,beginning,conflict,cable,battery,bench,author,capability,body,applicant,bush,care,call,burden,bishop,brother,england,channel,centre,branch,cake,daughter,cash,century,entity,bible,cloud,bottom,challenge,bull
7,dollar,camera,article,audience,closure,confusion,card,bike,brick,citizen,capacity,bone,approval,charles,climate,change,chance,cabinet,child,europe,character,chapter,bridge,champagne,diana,cheque,christian,equivalent,comparison,creature,brow,champion,candle
8,gold,characteristic,block,awareness,collapse,controversy,chain,boat,building,coach,complexity,brain,assessment,charlie,co-operation,check,charge,candidate,corpse,france,chart,charity,camp,coffee,elizabeth,compensation,count,example,composition,darkness,bullet,championship,carpet
9,half,circle,case,beauty,completion,crisis,chip,bomb,carriage,colleague,concentration,breast,certificate,clarke,coalition,contact,choice,captain,couple,germany,concert,clinic,canal,cream,emily,concession,crown,form,concept,dawn,button,circuit,cigarette
