,0,1,2,3,4
65,candle,cancer,capacity,engineer,peter
66,card,capital,care,executive,philip
67,carpet,career,case,expert,rachel
68,carriage,carrier,category,farmer,richard
69,cash,castle,cause,father,robert
70,cast,catalogue,caution,fellow,robyn
71,cattle,cathedral,challenge,friend,ruth
72,ceiling,centre,chance,gentleman,sarah
73,cell,century,change,girl,scot
74,chain,ceremony,chaos,governor,scott
75,chamber,certificate,characteristic,guest,simon
76,champagne,championship,charge,hero,smith
77,check,channel,choice,historian,stephen
78,cheek,chapel,circumstance,holder,susan
79,chemical,chapter,claim,host,taylor
80,cheque,charity,clause,husband,thatcher
81,chest,chart,closure,inhabitant,thomas
82,chin,charter,co-operation,inspector,tony
83,chip,china,code,investor,tory
84,cigarette,christ,collapse,journalist,walker
85,circle,christian,combination,judge,william
86,circuit,church,comfort,justice,williams
87,cliff,city,comment,killer,willie
88,clock,clash,commitment,king,wilson
89,cloth,class,communication,knight,wright
90,clothes,climate,comparison,landlord,
91,cloud,clinic,compensation,lawyer,
92,cluster,club,complaint,leader,
93,coal,coalition,complexity,lord,
94,coat,coast,compliance,lover,
95,coffee,collection,component,magistrate,
96,coffin,college,composition,maker,
97,coin,colony,compromise,manager,
98,collar,command,concentration,manufacturer,
99,colour,commission,concept,master,
100,column,committee,conception,member,
101,compound,community,concern,miner,
102,computer,company,conclusion,minister,
103,container,competition,condition,mother,
104,core,completion,conduct,neighbour,
105,corner,complex,confidence,nurse,
106,corpse,concert,conflict,observer,
107,cottage,concession,confusion,offender,
108,counter,conference,connection,officer,
109,cover,congress,consciousness,operator,
110,crack,constituency,consensus,opponent,
111,craft,constitution,consent,organiser,
112,cream,construction,consequence,owner,
113,creature,contest,consideration,parent,
114,crew,continent,constraint,participant,
115,crop,contract,consultation,partner,
116,cross,convention,consumer,patient,
117,crowd,corp,consumption,person,
118,cupboard,corporation,contact,personality,
119,curtain,corridor,contempt,photographer,
120,curve,council,content,pilot,
121,custom,country,contents,plaintiff,
122,cycle,countryside,context,player,
123,dance,county,contradiction,poet,
124,darkness,course,contrast,policeman,
125,datum,court,contribution,politician,
126,dawn,crash,control,practitioner,
127,deck,crime,controversy,president,
128,deposit,crisis,conversation,priest,
129,depths,crown,conversion,prime,
130,desk,culture,conviction,prince,
131,device,currency,copy,princess,
132,disc,current,cost,prisoner,
133,dish,curriculum,count,producer,
134,disk,date,courage,publisher,
135,display,death,coverage,pupil,
136,dollar,decade,creation,purchaser,
137,door,declaration,credit,reader,
138,doorway,decree,criterion,receiver,
139,downstairs,defeat,criticism,reporter,
140,draw,defence,curiosity,representative,
141,drawing,delegation,damage,researcher,
142,dress,democracy,damages,resident,
143,drink,demonstration,danger,rider,
144,drive,department,database,rival,
145,drop,departure,deal,scholar,
146,dust,development,debate,scientist,
147,earth,diary,debt,secretary,
148,edge,diet,decision,seller,
149,elbow,dinner,decline,sergeant,
150,enemy,disaster,defect,servant,
151,engine,district,deficit,shareholder,
152,entrance,division,definition,sister,
153,envelope,draft,degree,soldier,
154,equipment,drama,delay,solicitor,
155,explosion,dream,delight,speaker,
156,eyebrow,duty,delivery,specialist,
157,fabric,east,demand,spokesman,
158,face,economy,depression,student,
159,feature,edition,depth,successor,
160,female,education,description,supplier,
161,fence,election,design,supporter,
162,fibre,electricity,desire,teacher,
163,field,embassy,destruction,teenager,
164,figure,empire,detail,tenant,
165,file,england,determination,thief,
166,filter,english,dialogue,traveller,
167,finger,enterprise,difference,trustee,
168,fire,entry,difficulty,vendor,
169,fish,episode,dilemma,victim,
170,fist,establishment,dimension,visitor,
171,flame,estate,direction,voice,
172,flat,europe,directive,wife,
173,flesh,evening,disappointment,winner,
174,floor,event,discipline,witness,
175,flow,exchange,discourse,woman,
176,flower,exhibition,discovery,worker,
177,food,expedition,discretion,writer,
178,foot,export,discrimination,youngster,
179,forehead,extension,discussion,,
180,forward,facility,disease,,
181,fragment,faction,disorder,,
182,frame,factory,dispute,,
183,front,fall,distance,,
184,fruit,family,distinction,,
185,fuel,farm,distribution,,
186,furniture,fashion,dividend,,
187,garage,february,doctrine,,
188,garment,festival,document,,
189,gate,fight,domain,,
190,gaze,fighting,dose,,
191,gear,film,doubt,,
192,gene,final,drug,,
193,ghost,finance,earnings,,
194,glance,firm,ease,,
195,glass,flag,effect,,
196,glove,fleet,effectiveness,,
197,gold,flight,efficiency,,
198,grade,flood,effort,,
199,grain,football,element,,
200,grass,force,embarrassment,,
201,grave,forest,emission,,
202,green,formation,emotion,,
203,grin,formula,emphasis,,
204,grip,fortune,employment,,
205,ground,foundation,energy,,
206,guitar,france,enquiry,,
207,hair,french,enthusiasm,,
208,half,friendship,entity,,
209,hand,fund,environment,,
210,handle,future,equation,,
211,head,gallery,equivalent,,
212,heap,game,error,,
213,heart,gang,essay,,
214,heat,garden,estimate,,
215,heaven,german,evaluation,,
216,heel,germany,evidence,,
217,height,glory,evolution,,
218,helicopter,goods,examination,,
219,hell,gorbachev,example,,
220,hill,government,excess,,
221,hold,group,excitement,,
222,hole,guard,exercise,,
223,hook,guide,existence,,
224,horizon,gulf,expansion,,
225,horn,hall,expectation,,
226,horse,handful,expenditure,,
227,hour,headline,expense,,
228,inch,headquarters,experience,,
229,insect,health,experiment,,
230,instrument,history,expertise,,
231,item,hitler,explanation,,
232,jacket,holding,exposure,,
233,juice,holiday,expression,,
234,kick,home,extent,,
235,kiss,honour,fact,,
236,kitchen,horror,factor,,
237,knee,hospital,failure,,
238,knife,hotel,faith,,
239,knot,house,fate,,
240,ladder,household,fault,,
241,lamb,housing,favour,,
242,lamp,hundred,fear,,
243,lane,hunt,feeling,,
244,laugh,incident,finding,,
245,layer,independence,flavour,,
246,lead,india,focus,,
247,leaf,individual,form,,
248,leaflet,industry,format,,
249,length,initiative,fraction,,
250,let,insider,framework,,
251,lift,institute,freedom,,
252,light,institution,frequency,,
253,limb,insurance,frustration,,
254,line,interior,function,,
255,link,interview,gain,,
256,load,invasion,generation,,
257,lock,investment,gesture,,
258,look,invitation,gift,,
259,lorry,iraq,glimpse,,
260,lunch,ireland,goal,,
261,machine,island,grounds,,
262,machinery,israel,growth,,
263,male,italy,guidance,,
264,margin,japan,guideline,,
265,mask,jesus,guilt,,
266,meal,joint,habit,,
267,meat,journal,happiness,,
268,medium,journey,harm,,
269,menu,june,hearing,,
270,mess,jury,help,,
271,metal,killing,hierarchy,,
272,metre,kingdom,hint,,
273,mile,kong,hope,,
274,milk,label,hostility,,
275,mill,laboratory,human,,
276,mine,labour,hypothesis,,
277,minute,lake,idea,,
278,mirror,land,ideal,,
279,missile,landing,identification,,
280,mist,landscape,identity,,
281,mixture,launch,ideology,,
282,module,leadership,illness,,
283,molecule,league,image,,
284,monster,lease,imagination,,
285,moon,lecture,impact,,
286,mountain,leeds,implementation,,
287,mouse,left,implication,,
288,mouth,legislation,import,,
289,move,letter,importance,,
290,muscle,library,impression,,
291,mystery,licence,improvement,,
292,nail,life,impulse,,
293,neck,lifetime,incentive,,
294,needle,list,incidence,,
295,nerve,literature,income,,
296,nest,liverpool,increase,,
297,night,living,index,,
298,nose,loan,inequality,,
299,ocean,location,infection,,
300,organ,london,inflation,,
301,pack,magazine,influence,,
302,package,mail,information,,
303,packet,major,ingredient,,
304,page,management,injunction,,
305,paint,march,injury,,
306,painting,market,innovation,,
307,pair,marriage,input,,
308,palm,match,inquiry,,
309,panel,medal,insight,,
310,paper,media,inspection,,
311,paragraph,medicine,instance,,
312,particle,meeting,instinct,,
313,pass,membership,instruction,,
314,patch,merger,integration,,
315,path,middle,intelligence,,
316,pavement,million,intensity,,
317,phone,ministry,intention,,
318,picture,minority,interaction,,
319,piece,mission,interest,,
320,pile,monopoly,interface,,
321,pillow,month,interpretation,,
322,pint,morning,interval,,
323,pipe,mortgage,intervention,,
324,pitch,moscow,introduction,,
325,plane,motor,investigation,,
326,planet,movement,involvement,,
327,plant,movie,isolation,,
328,plate,murder,issue,,
329,platform,museum,joke,,
330,pocket,music,judgement,,
331,pole,name,judgment,,
332,pond,nation,jurisdiction,,
333,pool,network,kind,,
334,portion,news,knowledge,,
335,poster,newspaper,lack,,
336,potato,north,language,,
337,pound,novel,laughter,,
338,prey,occupation,lesson,,
339,print,office,level,,
340,processor,official,liability,,
341,protein,open,lifespan,,
342,pulse,opening,limit,,
343,punch,operation,limitation,,
344,rabbit,organisation,links,,
345,rage,organization,logic,,
346,rain,other,loss,,
347,range,ownership,love,,
348,recipe,oxford,loyalty,,
349,rhythm,palace,maintenance,,
350,ride,papers,majority,,
351,ridge,paris,manner,,
352,right,park,mass,,
353,ring,parliament,material,,
354,river,part,matter,,
355,rock,partnership,maximum,,
356,roll,party,meaning,,
357,roof,passage,means,,
358,room,passenger,measure,,
359,root,past,measurement,,
360,rope,peace,mechanism,,
361,rose,peak,memory,,
362,round,peasant,merit,,
363,routine,pension,message,,
364,salt,people,method,,
365,sample,period,mind,,
366,sand,personnel,minimum,,
367,scent,petition,mistake,,
368,screen,place,mode,,
369,script,plan,model,,
370,seal,planning,moment,,
371,seconds,play,momentum,,
372,seed,poem,money,,
373,sequence,poetry,mood,,
374,shadow,police,motion,,
375,shaft,politics,motive,,
376,shape,poll,myth,,
377,sheep,pope,nature,,
378,sheet,population,necessity,,
379,shelf,port,need,,
380,shell,portfolio,negotiation,,
381,shelter,portrait,noise,,
382,ship,post,norm,,
383,shirt,prayer,note,,
384,shock,premium,notice,,
385,shoe,present,notion,,
386,shop,press,number,,
387,shore,pride,object,,
388,shot,prison,objection,,
389,shoulder,prize,objective,,
390,side,proceedings,obligation,,
391,sigh,production,observation,,
392,sight,professional,obstacle,,
393,signal,program,occasion,,
394,signature,programme,offence,,
395,skin,project,offer,,
396,skirt,promotion,opinion,,
397,sleep,property,opportunity,,
398,sleeve,protest,opposition,,
399,slice,province,option,,
400,slide,public,order,,
401,slope,publication,organism,,
402,smell,purchase,origin,,
403,smile,qualification,outcome,,
404,smoke,quarter,outline,,
405,snow,queen,output,,
406,sofa,race,pace,,
407,soil,radio,pain,,
408,song,raid,panic,,
409,soul,rail,parameter,,
410,sound,railway,participation,,
411,space,rally,passion,,
412,species,reading,pattern,,
413,specimen,rebel,payment,,
414,speed,reception,penalty,,
415,spell,record,percentage,,
416,sphere,recording,perception,,
417,spine,referendum,performance,,
418,spot,reform,permission,,
419,spread,refugee,perspective,,
420,spring,regime,phase,,
421,square,region,phenomenon,,
422,stage,register,philosophy,,
423,stair,release,photograph,,
424,stand,relief,phrase,,
425,star,remainder,pleasure,,
426,statue,remains,plenty,,
427,stem,rent,plot,,
428,stick,report,point,,
429,stitch,republic,policy,,
430,stomach,research,pollution,,
431,stone,reserve,popularity,,
432,stop,resignation,position,,
433,store,rest,possession,,
434,storm,restaurant,possibility,,
435,strand,retirement,potential,,
436,stranger,return,poverty,,
437,stream,revenue,power,,
438,stretch,review,practice,,
439,string,revolution,preference,,
440,strip,rights,premise,,
441,stroke,road,preparation,,
442,sugar,rome,presence,,
443,suit,route,presentation,,
444,sunlight,rule,pressure,,
445,supplies,russia,price,,
446,surface,russian,principle,,
447,sweat,sale,priority,,
448,switch,savings,privilege,,
449,sword,scandal,problem,,
450,table,scene,procedure,,
451,tail,schedule,process,,
452,tank,school,product,,
453,tape,science,profession,,
454,taxi,scotland,profile,,
455,tear,season,profit,,
456,tent,seat,progress,,
457,thigh,second,promise,,
458,thread,secret,proof,,
459,throat,section,proportion,,
460,thumb,sector,proposal,,
461,tide,security,proposition,,
462,tile,series,prosecution,,
463,tissue,service,prospect,,
464,tongue,session,prospects,,
465,tonne,setting,protection,,
466,tooth,settlement,protocol,,
467,torch,show,provision,,
468,touch,site,publicity,,
469,towel,society,punishment,,
470,tower,south,purpose,,
471,track,spain,pursuit,,
472,trail,spending,quality,,
473,train,sport,quantity,,
474,trap,squad,question,,
475,tray,staff,questionnaire,,
476,tree,stake,rank,,
477,trick,start,rate,,
478,trousers,state,rating,,
479,truck,station,ratio,,
480,tube,statute,reaction,,
481,tune,stock,reality,,
482,tunnel,story,reason,,
483,turn,street,receipt,,
484,uniform,strike,recession,,
485,vehicle,studio,recognition,,
486,vein,subsidiary,recommendation,,
487,verse,succession,recovery,,
488,vessel,suicide,reduction,,
489,video,summer,reference,,
490,virus,summit,reflection,,
491,volume,surgery,refusal,,
492,waist,survey,regulation,,
493,walk,tale,rejection,,
494,wall,talk,relation,,
495,watch,teaching,relationship,,
496,water,team,relative,,
497,wave,technology,religion,,
498,weapon,telephone,remark,,
499,wheel,television,remedy,,
500,while,temple,removal,,
501,white,terrace,replacement,,
502,wicket,territory,reply,,
503,wind,terror,representation,,
504,window,theatre,reputation,,
505,wine,theme,request,,
506,wing,thesis,requirement,,
507,wire,thousand,resistance,,
508,wood,ticket,resolution,,
509,word,time,resource,,
510,wound,times,respect,,
511,wrist,title,response,,
512,yard,tour,responsibility,,
513,,tourist,restriction,,
514,,tournament,result,,
515,,town,reward,,
516,,trade,rise,,
517,,trading,risk,,
518,,tradition,ritual,,
519,,traffic,role,,
520,,tragedy,rumour,,
521,,training,safety,,
522,,transport,salary,,
523,,treasury,sanction,,
524,,treaty,satisfaction,,
525,,trial,scale,,
526,,tribunal,scheme,,
527,,trip,scope,,
528,,triumph,score,,
529,,troops,search,,
530,,trophy,selection,,
531,,trust,self,,
532,,union,sensation,,
533,,unit,sense,,
534,,universe,senses,,
535,,university,sensitivity,,
536,,valley,sentence,,
537,,venture,separation,,
538,,version,share,,
539,,victory,shift,,
540,,villa,shortage,,
541,,village,sign,,
542,,visit,significance,,
543,,volunteer,silence,,
544,,wales,situation,,
545,,ward,size,,
546,,warrant,skill,,
547,,washington,software,,
548,,waters,solution,,
549,,weather,sort,,
550,,week,source,,
551,,weekend,specification,,
552,,welfare,spectrum,,
553,,west,speculation,,
554,,whilst,speech,,
555,,whole,spirit,,
556,,winter,stability,,
557,,workshop,stance,,
558,,world,standard,,
559,,worth,statement,,
560,,year,statistics,,
561,,york,status,,
562,,youth,step,,
563,,zone,stimulus,,
564,,,strain,,
565,,,strategy,,
566,,,strength,,
567,,,stress,,
568,,,structure,,
569,,,struggle,,
570,,,study,,
571,,,stuff,,
572,,,style,,
573,,,subject,,
574,,,subsidy,,
575,,,substance,,
576,,,success,,
577,,,suggestion,,
578,,,supply,,
579,,,support,,
580,,,surplus,,
581,,,surprise,,
582,,,survival,,
583,,,suspicion,,
584,,,symbol,,
585,,,sympathy,,
586,,,symptom,,
587,,,system,,
588,,,tactic,,
589,,,talent,,
590,,,target,,
591,,,task,,
592,,,taste,,
593,,,technique,,
594,,,temperature,,
595,,,tendency,,
596,,,tension,,
597,,,term,,
598,,,test,,
599,,,text,,
600,,,thanks,,
601,,,theory,,
602,,,thing,,
603,,,thinking,,
604,,,thought,,
605,,,threat,,
606,,,tone,,
607,,,tool,,
608,,,topic,,
609,,,total,,
610,,,trace,,
611,,,transaction,,
612,,,transfer,,
613,,,transformation,,
614,,,transition,,
615,,,treatment,,
616,,,trend,,
617,,,trouble,,
618,,,truth,,
619,,,turnover,,
620,,,type,,
621,,,uncertainty,,
622,,,understanding,,
623,,,unemployment,,
624,,,unity,,
625,,,user,,
626,,,validity,,
627,,,value,,
628,,,variable,,
629,,,variation,,
630,,,variety,,
631,,,verdict,,
632,,,view,,
633,,,viewer,,
634,,,violence,,
635,,,virtue,,
636,,,vision,,
637,,,vote,,
638,,,voter,,
639,,,wages,,
640,,,warmth,,
641,,,warning,,
642,,,waste,,
643,,,weakness,,
644,,,wealth,,
645,,,weight,,
646,,,will,,
647,,,willingness,,
648,,,wish,,
649,,,withdrawal,,
650,,,work,,
651,,,writing,,
