,0,1,2,3,4
0,dollar,formula,quote,accountant,adam
1,pound,accident,ability,actor,alice
2,acid,accommodation,absence,adviser,anna
3,adult,acquisition,abuse,agent,anne
4,alarm,acre,acceptance,ally,athelstan
5,album,administration,access,ambassador,baker
6,angel,advance,account,analyst,benjamin
7,angle,advertising,accuracy,applicant,bill
8,animal,affair,achievement,architect,blanche
9,ankle,africa,action,artist,brown
10,apple,afternoon,activity,assistant,caroline
11,array,agency,addition,auditor,charles
12,arrow,agreement,address,author,charlie
13,baby,aircraft,admission,bishop,clarke
14,back,airline,adoption,boss,clinton
15,bacterium,airport,advantage,brother,cook
16,ball,alliance,advertisement,buyer,corbett
17,barrel,amendment,advice,candidate,david
18,barrier,america,agenda,captain,diana
19,basket,american,alcohol,chair,earl
20,bath,anniversary,allegation,chairman,edward
21,bathroom,apartment,allocation,champion,eliot
22,battery,appointment,allowance,chancellor,elizabeth
23,beach,april,alternative,character,emily
24,beam,architecture,ambition,chief,ford
25,beauty,area,amount,child,francis
26,bedroom,army,analysis,citizen,george
27,beer,arrest,anger,clerk,graham
28,bell,arrival,announcement,client,grant
29,belt,assault,answer,coach,harry
30,bench,assembly,anxiety,colleague,helen
31,bike,association,appeal,collector,henry
32,bird,attack,appearance,commander,howard
33,black,audience,application,commentator,isabel
34,blade,australia,approach,commissioner,jack
35,blanket,authority,approval,companion,jackson
36,block,autumn,argument,competitor,james
37,blood,award,arrangement,conservative,jane
38,blow,band,article,constable,john
39,boat,bank,aspect,consultant,johnson
40,body,base,assessment,councillor,jones
41,bomb,battle,asset,couple,joseph
42,bond,beginning,assistance,cousin,kate
43,bone,being,assumption,creditor,kelly
44,boot,best,atmosphere,critic,kinnock
45,bottle,bible,attempt,customer,lady
46,bottom,birth,attention,dancer,laura
47,brain,birthday,attitude,daughter,lewis
48,bread,board,attraction,dealer,lily
49,break,book,availability,defendant,lucy
50,breakfast,boom,average,defender,luke
51,breast,border,awareness,delegate,maggie
52,breath,boundary,background,democrat,marie
53,breeze,bowl,balance,deputy,mark
54,brick,branch,basis,designer,martin
55,bridge,brand,behaviour,detective,marx
56,brow,britain,belief,developer,mary
57,brush,budget,benefit,director,michael
58,bucket,building,bias,doctor,miller
59,bull,bush,breach,driver,morgan
60,bullet,business,bulk,duke,mungo
61,button,cabinet,burden,editor,nigel
62,cable,camp,calculation,emperor,patrick
63,cake,campaign,call,employee,paul
64,camera,canal,capability,employer,penny
