,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
0,dollar,formula,quote,ability,absence,abuse,acceptance,access,accident,account,accountant,accuracy,achievement,acid,acquisition,acre,action,activity,actor,adam,addition,administration,admission,adult,advance,advantage,advertisement,advertising,advice,adviser,affair,africa,afternoon,agency,agenda,aircraft,alarm,album,alice,allegation,alliance,allocation,alternative,amendment,america,amount,analysis,analyst,angel,anger,angle,ankle,anne,anniversary,announcement,anxiety,apartment,appeal,apple,applicant,approach,april,architecture,area,army,arrangement,array,arrest,article,aspect,assembly,assessment,asset,assistant,association,assumption,athelstan,attention,audience,autumn,back,background,baker,ball,barrel,barrier,basket,bath,beach,beam,beauty,beer,belt,bench,benefit,bird,blood,book,boom,boss,boundary,bowl,brand,breach,breast,bridge,bulk,bush,button,campaign,cancer,candle,capacity,capital,career,carpet,carriage,cash,cast,catalogue,channel,chapter,chip,choice,church,coal,code,collection,column,concern,concession,conference,confidence,cover,criterion,crown,current,curriculum,dawn,delay,embassy,emotion,empire,english,equipment,expense,finger,guitar,literature,part
1,pound,bike,bible,ambition,collapse,alcohol,adoption,accommodation,bomb,address,agent,availability,award,animal,communication,half,battle,atmosphere,american,charlie,comparison,awareness,approval,baby,assault,chance,check,coverage,assistance,ambassador,agreement,australia,being,charity,consciousness,boat,battery,chart,anna,answer,ally,allowance,band,bill,britain,average,calculation,commentator,breeze,attitude,circle,arrow,blanche,appearance,appointment,defect,bathroom,case,application,buyer,behaviour,february,composition,border,base,category,peak,crime,compromise,character,authority,conduct,bank,chief,branch,basis,benjamin,decline,curiosity,beginning,change,black,bell,blow,bottle,brick,boot,christ,canal,chemical,comfort,bread,blanket,circuit,gain,cattle,body,century,crisis,brother,corridor,challenge,chain,circumstance,brow,building,favour,clinton,camera,crowd,cause,flame,flow,cathedral,club,custom,lorry,compensation,drama,date,host,section,core,decision,college,electricity,database,exhibition,headline,confusion,estate,convention,discipline,frame,guideline,duke,future,grade,earth,difficulty,german,feeling,french,instance,facility,glance,pocket,horn,reading,remainder
2,coin,driver,contents,attempt,damage,clinic,closure,airline,crash,block,citizen,capability,best,bacterium,construction,hundred,clash,balance,architect,david,connection,care,certificate,birth,attack,glimpse,content,media,caution,auditor,attraction,coast,decade,entity,context,craft,cable,disc,diana,argument,candidate,budget,dance,clause,china,count,constraint,consultant,chaos,contempt,curve,blade,caroline,birthday,arrival,depression,bedroom,conviction,client,cheque,emphasis,june,drawing,colony,captain,class,range,gang,consensus,characteristic,board,enquiry,business,constable,department,belief,charles,influence,delight,camp,look,brown,clarke,break,bucket,ceiling,bottom,england,cliff,emission,courage,cake,cloth,court,guide,fish,bone,diary,currency,colleague,course,champion,company,consequence,cheek,castle,handful,jackson,card,demonstration,disease,flower,handle,city,coach,fashion,taxi,credit,episode,fragment,network,volume,device,discretion,degree,energy,disk,gallery,journal,consideration,farm,festival,experience,heap,policy,emperor,official,instruction,horizon,finding,gorbachev,gaze,independence,language,gear,moment,slide,instrument,work,rest
3,dollar,ford,copy,commitment,damages,condition,completion,airport,disaster,call,clerk,complexity,honour,cell,design,million,defeat,bias,artist,jack,contradiction,democracy,charter,child,counter,hint,material,news,co-operation,bishop,bond,continent,evening,group,criticism,crew,clock,edition,emily,comment,christian,burden,garage,congress,europe,fraction,cycle,doctor,cloud,disappointment,direction,bullet,daughter,breakfast,death,disorder,cupboard,defendant,computer,creditor,experiment,march,landscape,community,charge,cluster,spectrum,killer,controversy,component,chamber,evaluation,consumer,deputy,foundation,claim,earl,popularity,enthusiasm,fall,move,bull,cook,draw,cigarette,curtain,brush,jesus,flood,field,dream,champagne,clothes,judge,help,grass,brain,essay,demand,companion,distance,championship,competitor,danger,chest,centre,majority,washington,desk,hitler,incidence,holding,height,gulf,defender,furniture,train,fortune,feature,inhabitant,program,,engine,proposal,hospital,fuel,document,library,leaflet,dilemma,grounds,lecture,expertise,piece,requirement,king,past,lesson,moon,habit,moscow,gesture,occupation,meaning,machine,period,thumb,lead,writing,second
4,inch,formula,description,contribution,destruction,delivery,conversion,carrier,explosion,letter,detective,control,lifetime,gene,development,thousand,fight,climate,author,luke,contrast,education,consent,couple,enemy,incentive,mess,publicity,compliance,cabinet,conflict,east,hour,initiative,culture,flight,frequency,kiss,helen,complaint,coalition,consumption,metal,constitution,france,margin,datum,editor,creature,embarrassment,edge,elbow,elizabeth,ceremony,departure,illness,door,hearing,filter,customer,focus,,paint,country,command,combination,variety,murder,conversation,compound,commission,examination,deposit,director,institute,concept,edward,presence,excitement,palm,shift,colour,corbett,drop,container,doorway,coffin,leeds,forest,mass,faith,coffee,coat,jurisdiction,let,ground,breath,journey,economy,corpse,drive,competition,corp,harm,chin,chapel,minority,,display,petition,infection,lamp,length,nation,football,goods,truck,gift,film,photograph,programme,,launch,recommendation,school,heat,domain,museum,magazine,interest,land,meeting,imagination,pile,subject,prince,present,master,planet,trouble,paris,impression,revolution,means,machinery,time,,organ,,spread
5,metre,horse,detail,desire,excess,dose,creation,mail,incident,message,employee,effectiveness,medal,insect,environment,tonne,fighting,concentration,collector,mark,difference,employment,entry,female,fire,opportunity,plenty,radio,consultation,chair,contact,middle,minute,membership,dialogue,helicopter,impulse,label,jane,explanation,conservative,cost,music,declaration,germany,minimum,equation,expert,darkness,fear,path,fist,isabel,concert,election,pain,downstairs,injunction,framework,dealer,manner,,painting,countryside,commander,example,,offence,debate,dimension,committee,identification,enterprise,executive,institution,conception,eliot,reputation,laughter,spring,stand,cross,graham,goal,envelope,fence,crack,liverpool,island,medium,fate,cream,collar,justice,need,nest,flesh,novel,inequality,cousin,extension,contest,corporation,obstacle,eyebrow,complex,people,,mouse,protest,virus,prayer,load,state,forward,interior,vehicle,money,horror,remains,project,,module,request,university,pollution,file,theatre,mirror,issue,landlord,proceedings,information,plot,,princess,,profession,star,while,rome,laugh,,name,maintenance,times,,rhythm,,whole
6,pound,motor,image,determination,failure,drug,discovery,operator,killing,notice,engineer,efficiency,merit,molecule,evolution,,invasion,depth,critic,martin,equivalent,health,grant,girl,opponent,option,stuff,,guidance,chairman,contract,north,month,mission,discourse,landing,input,record,kate,joke,delegation,debt,rock,decree,india,number,error,participant,dust,frustration,shape,foot,lady,dinner,invitation,personality,household,judgement,interface,developer,method,,portrait,county,defence,form,,offender,discussion,element,constituency,individual,exchange,head,laboratory,conclusion,francis,rise,pleasure,summer,step,flag,hunt,hold,glass,flat,deck,london,lake,momentum,freedom,crop,dress,magistrate,offer,prey,limb,poem,inflation,father,fault,event,distribution,result,face,corner,,,panel,rally,,tent,maximum,territory,home,shoe,,payment,motion,species,schedule,,pack,sanction,,power,format,visitor,newspaper,motive,lease,summit,insight,sheet,,queen,,pupil,universe,whilst,russia,mind,,origin,other,,,voice,,
7,,pace,link,effort,lack,exercise,establishment,passenger,suicide,phone,farmer,impact,prize,organism,expansion,,operation,depths,dancer,michael,order,housing,licence,male,target,place,thing,,intervention,chancellor,deal,south,morning,movement,expression,missile,noise,recording,laura,mistake,democrat,deficit,roll,directive,iraq,percentage,estimate,practitioner,ghost,guilt,slope,glove,marie,guest,pope,sleep,kitchen,judgment,layer,employer,objective,,statue,district,division,generation,,prison,dispute,factor,council,inquiry,finance,inspector,research,definition,george,success,smile,winter,switch,gold,johnson,kick,leaf,floor,hole,oxford,mine,particle,glory,diet,fabric,tribunal,return,rabbit,muscle,poetry,price,fellow,line,final,export,risk,forehead,cottage,,,screen,resistance,,torch,output,york,league,shop,,pension,movie,specimen,show,,package,vote,,supply,memory,,paper,preference,liability,workshop,intelligence,string,,,,student,,,russian,mood,,phrase,personnel,,,,,
8,,pole,links,intention,loss,medicine,formation,rail,,sign,gentleman,importance,winner,plant,growth,,raid,ease,designer,nigel,reference,human,permission,parent,troops,prospect,,,involvement,commissioner,distinction,wales,night,observer,hierarchy,pilot,packet,release,lily,note,faction,dividend,,discrimination,ireland,population,function,reporter,hell,hostility,,grip,mary,holiday,position,stress,pool,jury,mode,holder,perspective,,,family,duty,kind,,prisoner,matter,figure,councillor,inspection,firm,major,science,doctrine,harry,,surprise,,turn,green,jones,penalty,pillow,front,hook,,mountain,wave,happiness,dish,garment,warrant,start,sheep,nerve,story,rate,friend,mile,game,factory,sight,grin,entrance,,,stage,scandal,,,size,,play,store,,profit,mystery,trace,,,platform,,,waste,menu,,papers,priority,monopoly,,knowledge,,,,,teacher,,,,perception,,root,supplies,,,,,
9,,race,list,loyalty,reduction,patient,introduction,railway,,signature,lawyer,increase,,protein,implementation,,victory,effect,historian,patrick,relation,living,privilege,person,weapon,reason,,,joint,delegate,friendship,west,quarter,organisation,history,plane,pulse,song,lucy,objection,kinnock,earnings,,draft,israel,proportion,ideal,researcher,light,panic,,hand,wife,interview,post,symptom,restaurant,outcome,processor,owner,plan,,,port,expedition,mixture,,punishment,page,ingredient,parliament,investigation,fund,manager,society,doubt,henry,,,,,knight,kelly,pitch,pint,pavement,knot,,ocean,,heaven,drink,hair,,stop,,scent,tale,recession,grave,pass,match,fibre,threat,heart,garden,,,viewer,strike,,,speed,,player,tile,,rent,picture,tree,,,space,,,water,open,,press,problem,ownership,,skill,,,,,teaching,,,,sensation,,sentence,,,,,,
