,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,dollar,formula,quote,ability,access,accident,accommodation,account,accountant,accuracy,acid,acquisition,action,adam,administration,admission,adult,advantage,africa,afternoon,airport,alice,ambition,angel,animal,ankle,apartment,apple,architecture,athelstan
1,pound,alternative,affair,absence,alarm,aircraft,allocation,address,actor,amount,alcohol,advertising,agenda,benjamin,adviser,advice,album,assumption,america,anniversary,area,anna,anger,baby,bacterium,arrow,bath,application,association,baker
2,acre,analysis,allegation,abuse,back,assault,allowance,advertisement,agent,angle,basket,agency,alliance,bill,ambassador,agreement,audience,attempt,american,announcement,attraction,anne,anxiety,bird,blood,ball,bathroom,array,bible,bell
3,coin,approach,answer,acceptance,block,base,asset,article,analyst,availability,beer,airline,ally,charles,appointment,amendment,award,basis,australia,appearance,barrier,blanche,attitude,birth,body,barrel,bedroom,boot,certificate,brown
4,decade,arrangement,argument,achievement,blow,battery,assistance,background,architect,average,blanket,bank,army,charlie,assembly,appeal,band,belief,britain,april,beach,caroline,beauty,bond,bone,belt,bench,camera,chapter,bush
5,dollar,aspect,comment,activity,bottom,bike,benefit,book,artist,balance,bottle,brand,attack,david,assistant,applicant,best,bias,century,arrival,border,cousin,breath,boss,brain,black,brick,capability,clinic,clarke
6,gold,atmosphere,complaint,addition,break,boat,budget,catalogue,author,beam,bread,business,battle,earl,auditor,approval,cast,breach,china,autumn,boundary,daughter,chaos,brother,breast,blade,building,card,college,clinton
7,grade,calculation,controversy,adoption,button,bomb,care,category,citizen,bulk,breakfast,buyer,campaign,edward,bishop,arrest,channel,burden,christian,beginning,branch,diana,christ,bull,cancer,brow,castle,chip,communication,cook
8,half,characteristic,conversation,advance,call,boom,cash,collection,colleague,capacity,breeze,chain,clash,francis,board,authority,character,case,continent,being,bridge,elizabeth,comfort,captain,cause,brush,cathedral,circuit,composition,corbett
9,hour,climate,criticism,assessment,change,cable,charity,colour,collector,complexity,cake,company,coalition,george,cabinet,charter,chart,caution,country,birthday,camp,emily,confidence,child,cell,bucket,ceiling,client,conference,eliot
