,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
10,hundred,combination,debate,attention,check,carriage,cheque,column,commentator,concentration,candle,competitor,command,harry,candidate,clause,dance,chance,crown,bowl,canal,helen,consciousness,companion,chemical,bullet,chamber,clock,course,ford
11,inch,comparison,dialogue,awareness,contact,carrier,compensation,content,consultant,consumption,carpet,concession,congress,henry,chair,commission,drama,charge,embassy,career,capital,husband,contempt,corpse,condition,cheek,chapel,cloud,culture,graham
12,metre,complex,discourse,behaviour,count,coal,compliance,contents,critic,datum,cattle,consumer,conservative,jack,chairman,consent,episode,choice,empire,ceremony,centre,isabel,courage,couple,damage,chest,church,cluster,curriculum,grant
13,mile,component,discussion,closure,counter,construction,cost,copy,dancer,depth,champagne,contract,convention,james,chancellor,constitution,fashion,circumstance,england,challenge,city,jane,curiosity,creature,defect,chin,circle,code,degree,howard
14,million,compound,dispute,co-operation,crack,craft,credit,cover,designer,depths,cigarette,corp,crisis,john,chief,consultation,feature,claim,english,champion,coast,kate,darkness,crime,depression,cloth,cliff,computer,department,hunt
15,minute,concept,essay,collapse,delay,crash,currency,current,editor,distance,coffee,corporation,defeat,joseph,clerk,conviction,film,compromise,europe,championship,colony,lady,delight,death,disease,clothes,coffin,core,design,jackson
16,month,conception,glance,commitment,draw,crew,damages,date,engineer,dose,container,customer,defence,luke,coach,court,guest,concern,family,class,community,laura,desire,defender,disorder,coat,corner,custom,discipline,johnson
17,penny,constraint,guideline,completion,drive,deck,debt,description,expert,ease,cream,dealer,delegation,mark,commander,creditor,guitar,conclusion,france,club,constituency,lily,disappointment,detective,drug,collar,cottage,database,drawing,jones
18,pound,contrast,incident,conduct,drop,disaster,deficit,desk,farmer,efficiency,crop,delivery,democracy,martin,commissioner,decision,headline,conflict,french,competition,corridor,lucy,dream,doctor,gene,dress,cupboard,device,education,kelly
19,quarter,curve,joke,connection,forward,driver,demand,detail,fellow,emission,diet,developer,demonstration,michael,committee,declaration,horror,confusion,german,concert,countryside,maggie,embarrassment,duke,heart,elbow,curtain,disc,examination,kinnock
20,seconds,cycle,lesson,contribution,gain,duty,deposit,diary,figure,equivalent,dish,distribution,election,nigel,constable,decree,host,consensus,germany,contest,county,marie,emotion,emperor,human,eyebrow,door,disk,field,lamb
21,thousand,definition,letter,control,handle,earth,dividend,display,historian,estimate,drink,employee,expedition,patrick,council,defendant,interview,consequence,india,crowd,cross,marriage,enthusiasm,father,illness,fabric,doorway,envelope,foundation,lane
22,times,dimension,mess,conversion,help,enemy,earnings,document,journalist,excess,dust,employer,faction,paul,councillor,directive,kiss,consideration,iraq,dawn,district,mary,excitement,female,infection,face,downstairs,file,guidance,lewis
23,tonne,direction,message,coverage,hold,engine,economy,domain,lawyer,exposure,fibre,enterprise,fight,peter,delegate,discretion,label,context,ireland,departure,east,mother,experience,friend,injury,finger,entrance,filter,history,miller
24,week,doctrine,mistake,creation,kick,equipment,electricity,edition,organiser,flow,fish,estate,fighting,philip,democrat,discrimination,magazine,contradiction,israel,dinner,edge,princess,faith,gang,insect,fist,farm,format,innovation,morgan
25,wicket,element,moment,decline,lead,explosion,employment,entry,participant,fraction,flame,exchange,flag,richard,deputy,enquiry,marx,criterion,italy,division,extension,queen,fate,gentleman,limb,foot,fence,generation,institute,mungo
26,worth,entity,myth,destruction,left,facility,energy,fragment,partner,frequency,flavour,export,force,robert,director,hearing,media,danger,japan,draft,forest,rachel,fear,ghost,muscle,forehead,flat,implementation,institution,rose
27,year,environment,note,determination,let,fire,expenditure,guide,photographer,heat,flesh,factory,freedom,robyn,executive,injunction,moon,deal,kingdom,evening,gulf,ruth,feeling,gift,nerve,garment,floor,input,instruction,scot
28,,equation,notice,development,lift,fleet,expense,image,poet,height,flower,firm,gorbachev,simon,governor,inquiry,movie,difference,kong,event,headquarters,sarah,friendship,girl,organism,glove,frame,interface,journal,scott
29,,evolution,opinion,discovery,lock,flight,finance,information,politician,incidence,food,fortune,government,stephen,head,inspection,music,difficulty,leeds,exhibition,horizon,sister,frustration,handful,pain,grin,front,layer,laboratory,smith
30,,example,paragraph,effectiveness,look,flood,fund,instance,practitioner,increase,fruit,goods,group,thomas,holder,investigation,mystery,dilemma,liverpool,fall,island,susan,gaze,hero,patient,grip,furniture,machine,landscape,taylor
31,,experiment,person,effort,mouse,fuel,health,item,producer,index,glass,holding,guard,tony,inspector,judgement,news,distinction,living,february,lake,wife,gesture,honour,prey,hair,gallery,memory,language,thatcher
32,,expression,phrase,emphasis,move,gear,housing,leaflet,publisher,intensity,grain,import,hitler,william,judge,judgment,newspaper,doubt,london,festival,land,,glimpse,horse,protein,hand,garage,menu,lecture,walker
33,,factor,plot,establishment,open,ground,incentive,link,pupil,interval,grass,industry,ideology,willie,justice,jurisdiction,novel,effect,major,final,line,,glory,inhabitant,root,heel,garden,mode,library,ward
34,,form,poem,evaluation,other,helicopter,income,links,reporter,length,green,insider,independence,,leader,jury,personality,error,moscow,football,location,,guilt,killer,shock,hole,gate,module,literature,williams
35,,formula,poll,exercise,pace,ladder,inflation,list,researcher,level,heap,investor,initiative,,magistrate,legislation,planet,evidence,nation,game,middle,,happiness,killing,skin,hook,grave,network,master,wilson
36,,framework,proposal,existence,pass,landing,insurance,material,resident,lifespan,household,lease,invasion,,manager,licence,radio,expectation,paris,goal,mountain,,heaven,king,species,horn,hall,pack,medicine,wright
37,,function,question,expansion,pitch,launch,investment,mirror,scholar,limit,ingredient,mail,joint,,member,obligation,reality,explanation,people,holiday,north,,hell,knight,stem,jacket,hill,package,museum,
38,,hierarchy,remark,expertise,play,light,liability,name,scientist,load,juice,maker,labour,,minister,offence,record,extent,refugee,home,ocean,,hope,landlord,stomach,knee,hospital,packet,oxford,
39,,hypothesis,reply,failure,receiver,lorry,loan,observer,specialist,loss,lamp,manufacturer,leadership,,ministry,offender,recording,fact,remainder,invitation,park,,hostility,lord,strain,knife,hotel,panel,painting,
40,,ideal,rumour,favour,return,machinery,maintenance,outline,supporter,margin,leaf,market,majority,,office,penalty,rhythm,fault,republic,journey,part,,imagination,lover,stress,knot,house,phone,papers,
41,,impulse,scandal,focus,right,mine,management,page,teacher,mass,lunch,monopoly,merger,,officer,permission,rock,finding,rest,june,passage,,insight,male,stroke,mask,interior,platform,philosophy,
42,,inequality,sentence,formation,roll,missile,money,paper,traveller,maximum,meal,offer,minority,,parliament,petition,scene,grounds,rome,league,peak,,instinct,miner,substance,mouth,kitchen,processor,poetry,
43,,instrument,speculation,future,score,motor,mortgage,parameter,worker,measure,meat,operator,mission,,position,plaintiff,script,habit,russia,march,point,,jesus,monster,surgery,nail,mill,project,politics,
44,,interpretation,speech,growth,shift,operation,payment,photograph,writer,measurement,metal,owner,movement,,post,policy,series,harm,russian,match,port,,laugh,murder,symptom,neck,nest,protocol,practice,
45,,logic,statement,identification,sight,passenger,pension,picture,,medium,milk,ownership,negotiation,,president,pope,show,hint,scotland,medal,portion,,laughter,neighbour,tissue,needle,organ,screen,presentation,
46,,manner,stuff,identity,sign,personnel,planning,piece,,minimum,mist,parent,occupation,,prime,possession,song,idea,spain,meeting,prospect,,life,nurse,tooth,nose,palace,signal,press,
47,,mechanism,suggestion,impact,slide,pilot,pollution,portrait,,momentum,mixture,partnership,opposition,,rank,privilege,sound,implication,wales,morning,province,,love,player,treatment,opponent,pavement,software,prize,
48,,method,thing,importance,spell,plane,poverty,poster,,noise,paint,portfolio,organisation,,representative,procedure,stage,impression,washington,night,railway,,loyalty,police,vein,pair,pond,space,profession,
49,,model,thinking,improvement,stand,rail,power,present,,number,palm,premium,organization,,resignation,proceedings,star,intention,whilst,occasion,region,,mind,policeman,virus,patch,pool,specification,program,
50,,molecule,thought,individual,start,ride,price,print,,output,pile,product,party,,seat,proposition,story,issue,world,official,reserve,,mood,priest,weakness,pillow,remains,spectrum,programme,
51,,motion,thread,influence,step,shaft,priority,profile,,percentage,pint,production,peace,,secretary,prosecution,strip,kind,york,opening,ridge,,panic,prince,wound,plate,restaurant,standard,publication,
52,,norm,tone,integration,stick,ship,profit,reader,,population,pipe,purchase,peasant,,solicitor,provision,studio,limitation,youth,period,river,,passion,prison,,pocket,roof,system,reading,
53,,object,topic,intelligence,stop,storm,property,reference,,pressure,plant,purchaser,plan,,speaker,punishment,talent,matter,,place,road,,perception,prisoner,,punch,room,tape,religion,
54,,observation,verse,interaction,string,tank,protection,register,,proportion,potato,sale,protest,,spokesman,receipt,television,meaning,,pole,route,,pleasure,rabbit,,ring,shelter,tool,research,
55,,particle,warning,interest,switch,taxi,public,search,,pulse,rain,seller,raid,,staff,recommendation,theatre,means,,professional,settlement,,prayer,rider,,rope,shop,viewer,review,
56,,path,wish,intervention,test,traffic,recession,section,,quality,recipe,share,rally,,successor,referendum,theme,motive,,qualification,shore,,pride,secret,,seal,sofa,,school,
57,,pattern,word,introduction,tide,train,recovery,sheet,,quantity,salt,shareholder,rebel,,treasury,report,tune,necessity,,race,side,,promise,sergeant,,shell,square,,science,
58,,perspective,,involvement,touch,transport,regulation,signature,,range,sand,stake,reform,,trustee,request,universe,need,,reception,site,,rage,servant,,shirt,stair,,society,
59,,phase,,isolation,trace,truck,relief,source,,rate,scent,stock,regime,,,resolution,video,notion,,release,slope,,satisfaction,shadow,,shoe,statue,,statistics,
60,,phenomenon,,knowledge,track,unit,rent,specimen,,rating,seed,store,resistance,,,rights,voice,objection,,retirement,south,,self,shot,,shoulder,stone,,student,
61,,principle,,lack,trap,vehicle,resource,subject,,ratio,sheep,subsidiary,revolution,,,sanction,,objective,,round,state,,sensation,soldier,,skirt,strand,,study,
62,,process,,lifetime,trick,vessel,responsibility,table,,reduction,shelf,supplier,rival,,,statute,,obstacle,,schedule,station,,senses,stranger,,sleeve,street,,survey,
63,,questionnaire,,membership,turn,weapon,revenue,talk,,relative,slice,telephone,rule,,,trial,,opportunity,,season,stream,,sigh,suicide,,spine,temple,,teaching,
64,,reaction,,merit,walk,weather,reward,text,,sample,smell,tenant,stance,,,tribunal,,option,,second,stretch,,silence,tale,,stitch,tent,,technology,
65,,reflection,,nature,watch,wheel,risk,user,,scale,smoke,ticket,strike,,,verdict,,outcome,,session,summit,,skill,teenager,,suit,terrace,,thesis,
66,,representation,,order,while,wind,safety,version,,sensitivity,snow,trade,struggle,,,vote,,plenty,,sport,territory,,sleep,thief,,sword,tile,,training,
67,,ritual,,origin,will,,salary,whole,,shortage,soil,trading,tory,,,voter,,possibility,,spot,tourist,,smile,victim,,tail,tower,,university,
68,,routine,,participation,,,savings,,,size,sugar,transaction,treaty,,,warrant,,potential,,spring,town,,soul,witness,,tear,tube,,work,
69,,scheme,,past,,,sector,,,speed,sunlight,vendor,troops,,,,,premise,,squad,trail,,spirit,woman,,thigh,villa,,workshop,
70,,sequence,,performance,,,security,,,stability,sweat,venture,union,,,,,problem,,summer,tunnel,,surprise,youngster,,throat,visitor,,writing,
71,,setting,,popularity,,,service,,,strength,tray,,unity,,,,,proof,,team,valley,,sympathy,,,thumb,wall,,,
72,,shape,,preference,,,spending,,,surface,tree,,volunteer,,,,,purpose,,time,village,,taste,,,tongue,window,,,
73,,solution,,preparation,,,subsidy,,,target,water,,withdrawal,,,,,reason,,title,waters,,tension,,,torch,wing,,,
74,,sphere,,presence,,,supplies,,,temperature,wine,,,,,,,remedy,,tour,west,,terror,,,towel,yard,,,
75,,stimulus,,progress,,,supply,,,total,wood,,,,,,,requirement,,tournament,zone,,tragedy,,,trousers,,,,
76,,strategy,,promotion,,,surplus,,,turnover,,,,,,,,restriction,,trip,,,triumph,,,uniform,,,,
77,,structure,,prospects,,,transfer,,,value,,,,,,,,result,,trophy,,,truth,,,waist,,,,
78,,style,,publicity,,,trust,,,variable,,,,,,,,sense,,victory,,,violence,,,white,,,,
79,,symbol,,pursuit,,,unemployment,,,volume,,,,,,,,situation,,visit,,,virtue,,,wire,,,,
80,,tactic,,recognition,,,wages,,,weight,,,,,,,,sort,,weekend,,,vision,,,wrist,,,,
81,,task,,refusal,,,waste,,,,,,,,,,,suspicion,,winner,,,warmth,,,,,,,
82,,technique,,rejection,,,wealth,,,,,,,,,,,tendency,,winter,,,,,,,,,,
83,,term,,relation,,,welfare,,,,,,,,,,,threat,,,,,,,,,,,,
84,,theory,,relationship,,,,,,,,,,,,,,trouble,,,,,,,,,,,,
85,,tradition,,removal,,,,,,,,,,,,,,uncertainty,,,,,,,,,,,,
86,,transformation,,replacement,,,,,,,,,,,,,,validity,,,,,,,,,,,,
87,,transition,,reputation,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,trend,,respect,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,type,,response,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,variation,,rise,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,variety,,role,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,view,,scope,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,wave,,selection,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,separation,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,significance,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,spread,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,status,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,success,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,succession,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,support,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,survival,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,thanks,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,understanding,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,willingness,,,,,,,,,,,,,,,,,,,,,,,,,,
