,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,dollar,formula,quote,ability,absence,abuse,acceptance,access,accommodation,account,accountant,accuracy,acid,action,activity,actor,adam,address,administration,adult,advertisement,advice,adviser,affair,africa,afternoon,agency,agenda,agreement,aircraft,airline,alarm,album,alcohol,alice,allegation,allocation,allowance,ally,alternative,ambassador,ambition,amount,angel,anger,angle,ankle,anniversary,announcement,apartment,appearance,applicant,april,architecture,area,argument,arrangement,assembly,atmosphere,attack,attraction,audience,australia,award,baby,back,baker,ball,bank,barrel,basis,battle,beach,being,belief,belt,bench,benefit,bias,block,blood,book,boom,boss,branch,bush,cancer,capacity,catalogue,cattle,coast,collapse,communication,concentration,conservative,contents,copy,count,curriculum,dance
1,pound,chemical,comment,attempt,addition,accident,acquisition,check,business,analysis,agent,achievement,bacterium,amendment,advantage,architect,athelstan,advance,cabinet,animal,advertising,approval,analyst,bond,america,birthday,alliance,campaign,co-operation,arrow,airport,channel,band,apple,anna,assumption,composition,asset,brother,approach,assistant,awareness,array,chaos,anxiety,average,blade,bath,appointment,bathroom,background,candidate,autumn,bible,army,article,calculation,authority,barrier,expedition,caution,cast,britain,bowl,child,beginning,bell,boot,brand,cable,burden,century,bridge,draw,christ,black,brick,cash,breach,blow,body,character,climate,bull,corridor,gulf,cause,depth,clinic,coal,continent,crash,computer,discrimination,democracy,context,edition,duke,discipline,draft
2,acre,cluster,complaint,chance,departure,arrest,admission,connection,care,assessment,auditor,availability,cell,appeal,aspect,artist,benjamin,answer,constitution,bird,buyer,assistance,coach,career,american,breakfast,association,demonstration,compromise,battery,bike,circuit,chart,basket,anne,case,construction,budget,colleague,attitude,bishop,confidence,bulk,cloud,confusion,beam,breast,castle,choice,bedroom,beauty,client,february,christian,border,consensus,curve,board,base,flight,concern,crew,england,challenge,citizen,best,brown,bucket,company,chain,category,date,camp,drawing,consciousness,blanket,building,cheque,circumstance,break,bone,column,consumption,constable,course,hitler,condition,depths,collection,deposit,east,damage,custom,exposure,democrat,coverage,journal,earl,grade,drama
3,dollar,complex,gesture,commitment,excess,assault,adoption,guide,education,conduct,clerk,balance,gene,decree,characteristic,author,bill,estimate,embassy,creature,collector,attention,commentator,clash,china,dinner,centre,effort,consultation,bomb,boat,clock,label,beer,blanche,charge,delivery,compensation,companion,behaviour,captain,courage,class,darkness,contempt,delay,brow,cathedral,consent,cupboard,breeze,creditor,june,conception,capital,content,cycle,chamber,boundary,journey,consideration,crowd,europe,champion,dancer,bottom,clarke,button,corp,fence,certificate,decade,canal,holding,identity,carpet,ceiling,cost,danger,call,brain,diary,crisis,defender,drive,iraq,defect,distance,college,electricity,horizon,damages,database,heat,freedom,current,magazine,emperor,instruction,dream
4,hour,compound,glance,contribution,existence,conviction,application,interface,finance,enquiry,employee,capability,infection,directive,combination,critic,charles,explanation,government,crop,competitor,comfort,consultant,comparison,french,dish,charity,exhibition,dispute,bullet,carriage,field,music,bottle,caroline,claim,development,debt,cousin,direction,chair,curiosity,couple,dawn,delight,dose,brush,ceremony,decision,curtain,colour,defendant,march,culture,city,controversy,datum,chapter,core,living,disappointment,fleet,france,championship,female,corner,clinton,camera,corporation,fibre,clause,generation,cliff,painting,jesus,cloth,cover,credit,difference,change,breath,document,currency,detective,extension,israel,disease,height,gallery,energy,island,decline,design,isolation,gorbachev,definition,media,king,lesson,episode
5,hundred,formula,hint,desire,favour,crime,arrival,link,health,examination,engineer,complexity,molecule,injunction,component,designer,david,play,hierarchy,fish,consumer,command,expert,conflict,german,evening,club,experiment,fighting,carrier,container,light,record,bread,charlie,concept,evaluation,dividend,daughter,environment,chairman,emphasis,fraction,dust,embarrassment,emission,cheek,chapel,declaration,desk,flavour,driver,spring,degree,colony,conversation,device,charter,envelope,mission,doubt,personnel,germany,competition,gentleman,edge,cook,card,factory,knot,code,half,cottage,reading,mystery,clothes,cross,fortune,difficulty,counter,corpse,essay,deficit,doctor,line,,disorder,length,hall,fuel,landscape,defeat,enterprise,pressure,independence,description,newspaper,knight,teaching,film
6,inch,,invitation,determination,lack,death,birth,links,housing,hearing,farmer,compliance,organism,legislation,dimension,editor,edward,present,leadership,flower,customer,control,guest,contact,india,headline,coalition,foundation,joint,craft,lorry,packet,recording,cake,diana,conclusion,exchange,earnings,family,fashion,chancellor,enthusiasm,handful,earth,emotion,frequency,chest,church,judgement,door,gaze,holder,summer,doctrine,community,criticism,equation,commission,flow,raid,objection,pilot,ireland,concert,girl,front,corbett,chip,firm,ladder,concession,lifetime,farm,setting,myth,coat,deck,gain,dilemma,crack,flesh,fragment,demand,ghost,location,,illness,lifespan,hospital,gold,north,destruction,equipment,separation,justice,detail,paper,lady,training,horror
7,metre,,letter,intention,past,drug,closure,reference,life,inquiry,inspector,ease,protein,licence,element,historian,eliot,trick,ministry,grass,dealer,defence,interview,contract,japan,holiday,department,fund,meeting,enemy,mail,radio,rock,candle,elizabeth,consequence,exercise,employment,father,focus,chief,experience,heap,flame,excitement,impulse,chin,circle,judgment,doorway,grin,individual,winter,english,constituency,debate,filter,committee,ground,return,priority,routine,italy,contest,male,left,ford,disc,maker,lamp,constraint,month,forest,,origin,collar,flat,gift,error,drop,heart,leaflet,depression,guard,margin,,incidence,maximum,hotel,goods,ocean,disaster,facility,stress,labour,discretion,papers,lord,,motion
8,mile,,message,let,possession,gang,completion,source,management,inspection,judge,effectiveness,seed,monopoly,example,journalist,francis,,occupation,horse,developer,guidance,personality,contradiction,kong,home,division,initiative,merger,engine,motor,receiver,song,champagne,emily,effect,maintenance,estate,fellow,interpretation,commander,expertise,list,glory,fear,intensity,elbow,coffin,opinion,downstairs,habit,offender,,history,country,dialogue,format,conference,layer,ride,responsibility,squad,leeds,event,peasant,level,howard,disk,manufacturer,metal,criterion,period,garden,,phenomenon,dress,floor,grant,fault,fight,material,novel,economy,hero,pass,,injury,size,house,grain,planet,expansion,industry,tension,minority,distribution,press,pope,,movie
9,million,,note,loyalty,presence,incident,conversion,,professional,investigation,lawyer,efficiency,species,order,expression,photographer,george,,prime,human,employer,help,reporter,contrast,moscow,host,entity,open,negotiation,fire,passenger,signal,studio,cigarette,helen,evidence,planning,expenditure,friend,manner,commissioner,faith,majority,heaven,feeling,interval,eyebrow,coin,policy,entrance,laugh,official,,ideology,countryside,discourse,framework,congress,mass,tour,suspicion,staff,liverpool,festival,people,middle,hunt,display,subsidiary,needle,distinction,quarter,hill,,prayer,fabric,frame,incentive,finding,handle,mind,paragraph,flood,killer,passage,,muscle,,lecture,mine,shelf,explosion,innovation,,opposition,domain,print,prince,,picture
