,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,concession,race,,document,imagination,favour,offender,,poem,kitchen,meaning,judge,effectiveness,merit,salt,discovery,protest,participation,designer,,notice,sector,rabbit,let,network,guide,council,joke,ireland,session,firm,decree,landing,forest,light,rock,isabel,finding,implementation,friendship,disappointment,lifespan,heaven,profile,glove,leaflet,harm,jury,holiday,file,plaintiff,experiment,,instruction,difference,personnel,intensity,fragment,household,institute,jesus,mass,,spring,,heap,infection,jackson,interior,point,,habit,gallery,drink,series,jack,nail,,inflation,river,mountain,match,maker,goods,research,,leadership,second,garment,,,,student,sunlight,peasant,,proportion,revolution,tree,
11,contract,rally,,domain,instinct,lack,penalty,,sigh,lunch,opinion,magistrate,efficiency,popularity,substance,establishment,raid,progress,editor,,page,security,scent,moment,news,help,deputy,mess,italy,time,holding,delegation,lorry,island,ring,studio,jane,hint,improvement,honour,embarrassment,limit,hell,shape,grin,official,heart,prison,lecture,interface,purchaser,expression,,language,dilemma,pilot,load,instance,income,institution,king,mirror,,storm,,hole,muscle,johnson,pavement,portion,,hierarchy,hall,flavour,shot,james,neck,,poverty,road,ocean,play,manufacturer,machinery,resource,,minority,sport,machine,,,,teacher,surface,policeman,,variety,russian,wood,
12,credit,rider,,format,knowledge,marriage,possession,,story,restaurant,perspective,manager,gain,presence,,expansion,rebel,pursuit,engineer,,proposal,service,sheep,need,newspaper,intervention,director,negotiation,japan,times,joint,democracy,missile,land,smoke,,kate,hypothesis,individual,husband,emotion,maximum,killer,size,grip,papers,illness,prosecution,meeting,layer,suit,factor,,lesson,error,police,noise,kind,investment,journal,lord,object,,tide,,hook,nerve,jones,plate,range,,ideal,hill,food,television,john,needle,,recession,route,peak,poll,market,maintenance,specialist,,opposition,squad,paint,,,,,temperature,servant,,,,,
13,currency,taxi,,image,mind,refusal,punishment,,tale,room,stance,representative,isolation,priority,,formation,strike,relation,expert,,recommendation,welfare,species,opportunity,observer,permission,executive,relationship,kingdom,week,monopoly,directive,motor,landscape,star,,lady,idea,inquiry,life,enthusiasm,measure,kiss,speed,hand,proceedings,injury,sentence,performance,memory,voter,framework,,literature,guideline,prisoner,output,medium,mortgage,laboratory,pope,observation,,waters,,kick,organism,kelly,roof,rest,,intention,hotel,fruit,video,luke,nose,,reduction,south,ridge,qualification,owner,mine,technology,,party,team,paper,,,,,traffic,soldier,,,,,
14,deposit,,,information,nature,rejection,scandal,,terror,sofa,view,solicitor,momentum,recognition,,introduction,struggle,role,figure,,remark,,,option,press,protection,finance,thread,kong,weekend,operator,draft,passenger,nation,sword,,laura,implication,inspection,lifetime,excitement,minimum,monster,weight,heel,publication,loss,trial,prayer,mode,witness,function,,marx,issue,rank,pulse,origin,pension,library,priest,particle,,weather,,knot,specimen,lewis,shaft,section,,limitation,house,grain,,mark,skin,,rise,station,shelf,round,product,power,,,thatcher,youth,shoe,,,,,water,stranger,,,,,
15,dollar,,,item,perception,removal,suicide,,tragedy,tent,,treasury,prospects,reputation,,launch,victory,secret,historian,,reply,,,place,programme,relief,head,,moscow,year,ownership,freedom,plane,part,torch,,lily,impression,intelligence,lover,fear,quantity,moon,,jacket,release,mood,tribunal,presentation,module,,logic,,medicine,matter,reserve,receiver,phase,portfolio,museum,prince,reflection,,white,,mouse,stem,miller,sheet,stretch,,motive,lane,juice,,martin,spine,,risk,trail,shore,title,seller,production,,,tory,,shop,,,,,,teenager,,,,,
16,exchange,,,link,personality,replacement,suspicion,,triumph,,,trustee,quality,scale,,merger,,work,journalist,,report,,,potential,radio,shelter,justice,,paris,,parent,government,ship,people,,,lucy,notion,investigation,mother,feeling,rate,planet,,knee,verse,pain,verdict,reception,package,,manner,,painting,mistake,sergeant,sample,piece,price,organisation,queen,representation,,wind,,move,stomach,morgan,shell,strip,,necessity,location,lamb,,michael,tail,,shortage,tunnel,side,tournament,shareholder,supplies,,,,,store,,,,,,thief,,,,,
17,gift,,,links,reality,resignation,victim,,,,,york,recovery,scope,,opening,,,lawyer,,request,,,promise,reporter,support,minister,,rome,,partnership,independence,tank,population,,,maggie,possibility,measurement,neighbour,frustration,rating,rage,,knife,version,panic,,speech,packet,,means,,philosophy,objection,staff,shift,sort,profit,organization,,sight,,winter,,pack,sweat,scott,stair,track,,norm,mill,meal,,mungo,throat,,trend,valley,slope,trophy,supplier,supply,,,,,towel,,,,,,traveller,,,,,
18,lease,,,list,self,result,violence,,,,,,relative,significance,,operation,,,photographer,,response,,,prospect,show,,ministry,,russia,,stake,initiative,train,port,,,marie,premise,preparation,partner,gesture,ratio,shadow,,left,volume,patient,,stage,phone,,mechanism,,poetry,outcome,troops,signal,standard,property,school,,space,,,,pile,tissue,smith,stone,trip,,objective,palace,meat,,nigel,tongue,,turnover,west,summit,winner,trade,telephone,,,,,,,,,,,woman,,,,,
19,licence,,,material,sense,retirement,warrant,,,,,,resistance,status,,,,,poet,,sign,,,step,,,office,,scotland,,stock,jurisdiction,truck,province,,,mary,proof,program,portrait,guilt,total,soul,,mask,,sensation,,theatre,platform,,method,,politics,problem,unit,sound,symbol,revenue,society,,spectrum,,,,pillow,virus,taylor,tile,walk,,obligation,park,milk,,patrick,tooth,,uncertainty,,,world,trading,transport,,,,,,,,,,,worker,,,,,
